Sort_Order,Project,Sample_Owner,Panel,Specimen_Type,Specimen_Media,Ext_Lab,Ext_Operator,Ext_Method,Ext_Date,gDNA_Plate_ID,gDNA_Well_ID,Assay_Lab,Assay_Operator,Assay_Start_Date,Assay_Batch_Code,Assay_Plate_Code,Assay_Well_ID,Owner_Sample_ID,barcode,total_reads,B2M,HPV03,HPV06,HPV11,HPV13,HPV16,HPV18,HPV26,HPV28,HPV30,HPV31,HPV32,HPV33,HPV35,HPV39,HPV40,HPV42,HPV43,HPV44,HPV45,HPV51,HPV52,HPV53,HPV54,HPV55,HPV56,HPV58,HPV59,HPV61,HPV62,HPV64,HPV66,HPV67,HPV68a,HPV68b,HPV69,HPV70,HPV71,HPV72a,HPV73,HPV74,HPV76,HPV81,HPV82,HPV82v,HPV83,HPV84,HPV85,HPV86,HPV87,HPV89,HPV90,HPV91,HPV97,HPV114
81,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A11,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A11,Project1_sample-0100,A65P11,80459,1299,0,16114,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,717,1,0,0,5533,0,0,14021,42759,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,A12,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,A12,Project1_sample-0340,A65P12,30,14,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
97,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A1,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A1,Project1_sample-0121,A65P25,85128,1995,0,0,0,0,0,0,0,0,0,83123,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
105,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A2,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A2,Project1_sample-0134,A65P26,76284,1615,0,0,0,0,0,0,0,0,0,54825,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,19834,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A3,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A3,Project1_sample-0017,A65P27,83425,1158,0,0,0,0,0,1,0,0,0,0,0,0,0,55610,2,0,0,16686,1,1,3,0,4,0,0,0,1,7899,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2049
121,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A4,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A4,Project1_sample-0531,A65P28,61230,1242,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,50891,0,2,0,0,0,0,0,1,0,0,1,0,0,0,9085,0,0,0,0,0,1,0,1,0,0,0,0,0,0
129,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A5,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A5,Project1_sample-0257,A65P29,97981,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59767,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11846,0,0,1,0,1,0,0,0,0,0,0,0,0,0,24639,0,0
137,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A6,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A6,Project1_sample-0191,A65P30,60988,1018,0,0,0,0,0,0,0,0,0,31708,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21866,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6393,0,0,0,0
145,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A7,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A7,Project1_sample-0481,A65P31,80206,2140,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A8,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A8,PB100312_A8_Ext-Neg,A65P32,18,10,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A9,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A9,Project1_sample-0323,A65P33,79650,1438,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5611,0,0,195,34822,0,0,0,0,5,2,0,0,2665,0,0,0,0,1,0,0,13756,1908,0,0,17683,0,744,0,0,817,0,0,0,0,0,2,0,0,0
169,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A10,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A10,Project1_sample-0263,A65P34,84510,2400,0,0,0,0,0,1,0,0,0,0,0,0,0,47354,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34751,0,0,0,0,0,0,0,0
177,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A11,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A11,Project1_sample-0529,A65P35,72158,772,0,2,0,0,0,29414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12056,0,0,1,0,0,0,0,0,1,0,24389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5521
185,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,A12,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,A12,Project1_sample-0498,A65P36,91657,3026,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8,1,88610,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B1,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B1,Project1_sample-0214,A66P01,93890,937,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,62369,30572,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B2,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B2,Project1_sample-0202,A66P02,92419,1271,49418,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41717,0,0
18,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B3,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B3,Project1_sample-0411,A66P03,2657,2642,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B4,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B4,Project1_sample-0215,A66P04,3007,3e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B5,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B5,Project1_sample-0067,A66P05,77685,252,0,2,0,0,1,17595,0,0,0,0,0,0,0,17126,0,0,1,0,0,0,5,0,1,0,33916,0,0,5347,0,0,0,0,0,3436,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B6,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B6,Project1_sample-0181,A66P06,125116,2197,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122914,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B7,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B7,Project1_sample-0142,A66P07,75645,629,0,0,0,0,1,0,0,0,0,17834,0,0,0,0,0,0,2,903,0,0,3,0,0,0,36788,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B8,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B8,Project1_sample-0443,A66P08,2596,2588,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B9,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B9,Project1_sample-0483,A66P09,2749,2741,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B10,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B10,Project1_sample-0388,A66P10,115037,1945,0,1,0,0,0,0,0,0,0,0,0,113080,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B11,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B11,Project1_sample-0027,A66P11,1580,1564,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
90,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,B12,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,B12,Project1_sample-0220,A66P12,2821,2814,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B1,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B1,Project1_sample-0152,A66P25,71222,2055,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52070,0,0,17091,1,0,0,0,0
106,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B2,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B2,Project1_sample-0219,A66P26,99336,1261,0,0,0,0,0,98068,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B3,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B3,Project1_sample-0059,A66P27,76097,921,0,0,0,0,1,2,0,0,0,0,0,0,3,0,5,0,0,0,1,0,75162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B4,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B4,Project1_sample-0033,A66P28,118493,1256,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,117223,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0
130,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B5,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B5,Project1_sample-0530,A66P29,83843,936,0,0,0,0,0,0,0,0,0,0,0,26142,23883,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25540,0,0,0,0,7331,1,0,0,0,0
138,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B6,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B6,PB100312_B6_Siha-Hela,A66P30,95436,795,0,0,0,0,58214,36419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
146,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B7,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B7,Project1_sample-0211,A66P31,101777,1085,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,43389,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57289,0,0,0,0,0,0,0
154,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B8,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B8,Project1_sample-0313,A66P32,100226,898,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,64155,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,388,16142,0,0,3,0,0,0,0,0,0,0,0,0,18632,0,1,0,0
162,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B9,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B9,Project1_sample-0206,A66P33,4688,4667,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B10,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B10,Project1_sample-0367,A66P34,105184,1809,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26886,0,0,0,0,0,0,0,0,0,0,0,0,0,55885,0,0,0,0,0,0,20596,0,0,0,0,0
178,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B11,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B11,Project1_sample-0258,A66P35,1717,1710,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,12/27/2017,Plate2,B12,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate2,B12,Project1_sample-0376,A66P36,93381,1086,0,0,0,0,0,42978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
3,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C1,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C1,Project1_sample-0238,A67P01,78071,2159,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,1,75892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C2,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C2,Project1_sample-0339,A67P02,1542,1508,0,0,0,0,18,2,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
19,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C3,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C3,Project1_sample-0292,A67P03,2724,2706,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0
27,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C4,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C4,Project1_sample-0499,A67P04,82763,1691,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,38267,0,0,0,0,0,0,2,42794,0,0
35,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C5,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C5,Project1_sample-0136,A67P05,106656,1456,0,0,0,0,1,0,0,0,0,0,0,0,105188,1,0,0,2,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C6,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C6,Project1_sample-0186,A67P06,4753,4739,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
51,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C7,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C7,Project1_sample-0125,A67P07,4918,4911,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,Example-Project1,SarahWagner,All,cervical_scrape,PreservCyt,HGU,Sarah,Filtration,11/6/2017,Plate1,C8,HGU,Sarah,1/11/2018,Example-B1,Example-Batch1_Plate1,C8,Project1_sample-0343,A67P08,3745,3736,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
